Data,Loja,Cliente,Valor,Forma de Pagamento,Tipo,Produtos Vendidos,Categoria,Status,Data Pagamento,RecorrenciaID,TransacaoPaiID,TransactionID
2025-09-01,Doce&bella,Venda,96.0,PIX,Entrada,,,Realizada,2025-09-01,,,ebf0246b-42e9-49f4-8f15-938c53835df4
2025-09-01,Doce&bella,venda,50.0,PIX,Entrada,,,Realizada,2025-09-01,,,eed40006-0efe-44b7-9988-0220d8c30ab3
2025-09-01,Doce&bella,venda,24.0,PIX,Entrada,,,Realizada,2025-09-01,,,add71476-977d-48f2-afb3-918580c35cf0
2025-09-03,Doce&bella,venda,40.0,PIX,Entrada,,,Realizada,2025-09-03,,,c8558fd0-7ec8-49e5-912e-c78e2b560a26
2025-09-03,Doce&bella,venda,31.9,PIX,Entrada,,,Realizada,2025-09-03,,,a828eb3f-a8ea-438c-82ef-4b73654619af
2025-09-03,Fotografia,ensaio,100.0,PIX,Entrada,,,Realizada,2025-09-03,,,3f2f7332-12ca-4292-908f-86809831079a
2025-09-04,Doce&bella,vanessa,85.0,PIX,Entrada,,,Realizada,2025-09-04,,,a447d8bf-d430-428b-9d4b-c7f401b3b653
2025-09-04,Doce&bella,venda,15.0,PIX,Entrada,,,Realizada,2025-09-04,,,883a404d-e715-423a-a170-c07b334f4dea
2025-09-04,Doce&bella,venda,10.0,PIX,Entrada,,,Realizada,2025-09-04,,,eb7ece1c-573c-45e4-8432-fde304fc1c9f
2025-09-05,Doce&bella,venda,20.0,PIX,Entrada,,,Realizada,2025-09-05,,,a9715a02-109d-4a16-a431-df5e64eaf8f1
2025-09-07,Doce&bella,venda,30.0,PIX,Entrada,,,Realizada,2025-09-07,,,5d69803d-e045-44fb-84e7-dfb53fc443af
2025-09-07,Doce&bella,venda,20.0,PIX,Entrada,,,Realizada,2025-09-07,,,83423621-8f9d-4758-8114-5d3c07be3970
2025-09-08,Doce&bella,venda,61.9,PIX,Entrada,,,Realizada,2025-09-08,,,672889c2-817f-4d8e-bb0e-5f69d58f84c0
2025-09-08,Doce&bella,venda,40.0,PIX,Entrada,,,Realizada,2025-09-08,,,46e8dcb4-2808-4b1a-9a97-10739f8b9c6c
2025-09-11,Doce&bella,venda,70.0,PIX,Entrada,,,Realizada,2025-09-11,,,a9df62b9-df88-4eed-aa0f-91c2870165ed
2025-09-12,Doce&bella,venda,62.0,PIX,Entrada,,,Realizada,2025-09-12,,,a60a7cbe-6ed4-481c-9397-32e8ef5f48a8
2025-09-12,Doce&bella,venda,28.0,PIX,Entrada,,,Realizada,2025-09-12,,,e50191a6-9063-48d2-8b2f-12f22fd0bc79
2025-09-13,Doce&bella,venda,27.0,PIX,Entrada,,,Realizada,2025-09-13,,,251a1769-1723-4d77-a09c-70af2b5a876e
2025-09-15,Doce&bella,venda,95.0,PIX,Entrada,,,Realizada,2025-09-15,,,515c8462-25c9-4aa2-b2e0-5ba2ebbdb7fb
2025-09-16,Doce&bella,venda,49.0,PIX,Entrada,,,Realizada,2025-09-16,,,e3c4e830-9e52-4bdf-bd8d-a43549f5e685
2025-09-17,Doce&bella,venda,24.0,PIX,Entrada,,,Realizada,2025-09-17,,,d58fa1e4-e759-4eb3-9392-21e9dabeae25
